company_id,roe_percentage,roce_percentage,net_profit,ml_score,category
ABB,34.9,46.0,574.8461538461538,27.932453846153845,Average
ADANIENSOL,8.59,9.0,731.4166666666666,6.355424999999999,Weak
ADANIENT,13.64,11.6,1838.7692307692307,9.487630769230769,Weak
ADANIGREEN,14.700000000000001,96.5,456.0,34.9668,Average
ADANIPORTS,18.1,12.9,4401.692307692308,12.430507692307694,Weak
ADANIPOWER,57.1,32.2,2772.076923076923,33.33162307692308,Average
AMBUJACEM,9.24,12.8,2496.230769230769,8.28486923076923,Weak
APOLLOHOSP,13.81,17.2,481.46153846153845,10.828438461538463,Weak
ASIANPAINT,31.45,41.75,2725.0,25.9225,Average
AXISBANK,18.4,7.06,9052.153846153846,12.193646153846153,Weak
BAJAJ-AUTO,26.5,33.5,4938.461538461538,22.13153846153846,Weak
BAJAJFINSV,11.72,21.14,6814.538461538462,13.07436153846154,Weak
BAJAJHLDNG,14.8,13.1,3613.153846153846,10.933946153846156,Weak
BAJFINANCE,22.1,11.9,6233.090909090909,14.279927272727274,Weak
BANKBARODA,16.7,6.33,5732.2307692307695,10.298669230769232,Weak
BEL,26.3,34.6,2082.6923076923076,21.524807692307693,Weak
BHARTIARTL,14.9,13.1,1944.4615384615386,10.473338461538463,Weak
BHEL,1.05,3.28,807.0769230769231,1.6461230769230768,Weak
BOSCHLTD,16.0,20.6,1366.8461538461538,12.990053846153849,Weak
BPCL,41.9,32.1,9413.76923076923,29.21413076923077,Average
BRITANNIA,57.1,48.9,1273.3076923076924,37.89199230769231,Average
CANBK,17.9,6.63,4216.0,10.4138,Weak
CHOLAFIN,20.2,10.4,1476.4615384615386,11.642938461538462,Weak
CIPLA,16.8,22.8,2147.3076923076924,14.204192307692308,Weak
COALINDIA,52.0,63.6,18805.076923076922,45.521523076923074,Average
DABUR,19.2,22.3,1403.4615384615386,14.791038461538463,Weak
DIVISLAB,12.2,16.5,1401.8461538461538,10.250553846153846,Weak
DLF,6.95,5.74,1486.3846153846155,4.947915384615385,Weak
DMART,14.5,19.4,1115.3846153846155,11.954615384615385,Weak
DRREDDY,21.4,26.5,2603.0,17.290899999999997,Weak
EICHERMOT,24.2,31.1,1915.6923076923076,19.584707692307692,Weak
GAIL,14.0,14.7,6455.461538461538,11.94663846153846,Weak
GODREJCP,6.77,26.49,1111.076923076923,10.988323076923077,Weak
GRASIM,6.9,9.3,5998.2307692307695,7.349469230769231,Weak
HAL,28.9,38.9,3851.5384615384614,24.385461538461538,Weak
HAVELLS,18.0,24.4,874.8461538461538,14.782453846153846,Weak
HCLTECH,23.3,29.6,10334.538461538461,21.30036153846154,Weak
HDFCBANK,17.1,7.67,28968.153846153848,17.83144615384615,Weak
HDFCLIFE,11.4,6.61,1132.3846153846155,6.882715384615386,Weak
HEROMOTOCO,22.0,29.1,3159.25,18.477775,Weak
HINDALCO,10.2,11.3,5533.7692307692305,9.13013076923077,Weak
HINDUNILVR,20.2,27.2,6686.7692307692305,18.24603076923077,Weak
ICICIBANK,18.8,7.6,20299.23076923077,15.889769230769232,Weak
ICICIGI,17.0,22.5,1129.3846153846155,13.888815384615386,Weak
ICICIPRULI,8.07,8.75,1248.1538461538462,6.227446153846153,Weak
INDIGO,0.0,24.5,1215.076923076923,7.714523076923077,Weak
INDUSINDBK,15.2,7.93,4050.076923076923,9.674023076923076,Weak
INFY,31.8,40.0,17537.615384615383,29.981284615384613,Average
IOC,25.44,21.31,15350.076923076924,21.174023076923078,Weak
IRCTC,40.4,53.8,523.2727272727273,32.456981818181816,Average
IRFC,13.700000000000001,5.7299999999999995,3145.230769230769,8.142569230769231,Weak
ITC,29.47,34.76,13563.615384615385,26.285084615384616,Average
JINDALSTEL,14.1,13.2,1488.6923076923076,10.046607692307692,Weak
JIOFIN,1.8199999999999998,2.16,1081.0,1.7003,Weak
JSWENERGY,8.4,8.59,1131.6153846153845,6.276484615384615,Weak
JSWSTEEL,11.66,13.36,5294.615384615385,10.260384615384616,Weak
KOTAKBANK,15.1,7.86,8939.615384615385,11.079884615384614,Weak
LICI,63.61,63.78999999999999,18688.14285714286,50.18744285714286,Strong
LODHA,10.7,11.1,901.6153846153846,7.880484615384614,Weak
LT,10.49,17.18,9454.076923076924,12.186223076923078,Weak
LTIM,26.04,34.1,2133.769230769231,21.28613076923077,Weak
M&M,17.99,26.98,6103.153846153846,17.120946153846152,Weak
MARUTI,15.75,23.67,6722.538461538462,15.417761538461537,Weak
MOTHERSON,11.8,13.7,1846.3846153846155,9.383915384615385,Weak
NAUKRI,2.44,3.65,1263.076923076923,2.4499230769230764,Weak
NESTLEIND,135.61,185.43,1962.4615384615386,110.46173846153846,Strong
NHPC,9.61,7.67,3168.846153846154,7.095653846153846,Weak
NTPC,12.52,10.58,14218.615384615385,12.447584615384615,Weak
ONGC,14.32,19.71,29611.384615384617,20.524415384615388,Weak
PFC,19.49,9.96,12739.23076923077,14.60576923076923,Weak
PIDILITIND,22.8,29.7,1032.0,18.3396,Weak
PNB,8.7,1.63,1725.076923076923,4.486523076923077,Weak
POWERGRID,19.0,13.2,10167.615384615385,14.610284615384616,Weak
RECLTD,22.2,10.0,7669.0,14.180700000000002,Weak
RELIANCE,9.25,9.61,45938.307692307695,20.36449230769231,Weak
SBILIFE,12.0,13.2,1296.8461538461538,9.149053846153846,Weak
SHREECEM,12.2,14.8,1391.0,9.737300000000001,Weak
SHRIRAMFIN,15.9,11.3,3233.0,10.719899999999999,Weak
SIEMENS,19.1,25.6,1398.0833333333333,15.739425,Weak
SUNPHARMA,16.7,17.3,5473.153846153846,13.511946153846155,Weak
TATACONSUM,8.32,10.6,674.5384615384615,6.710361538461538,Weak
TATAMOTORS,49.4,20.1,5333.461538461538,27.390038461538463,Average
TATAPOWER,11.3,11.1,1930.6923076923076,8.429207692307692,Weak
TATASTEEL,6.55,7.02,5496.7692307692305,6.3750307692307695,Weak
TCS,0.52,64.3,30959.30769230769,28.785792307692304,Average
TECHM,8.63,11.9,3530.0,8.081,Weak
TITAN,32.9,22.7,1601.3076923076924,20.450392307692308,Weak
TORNTPHARM,24.2,23.2,1034.4615384615386,16.95033846153846,Weak
TRENT,27.2,23.8,311.15384615384613,18.11334615384615,Weak
TVSMOTOR,0.0,0.0,785.3076923076923,0.23559230769230766,Weak
